YYWW,DOGA,MAX(PAY),MIN(PAY),YYYY,A1,A2,B1,B2,C1,C2,D1,D2,YYWW_1,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6
2018-22,4849,4890,4817,2018-22,-455983,-465655,-749404,-751900,-45418,-98320,-1212850,-1224370,2018-22,54.7,22.2,22.3,14.2,30.8,16.6
2018-25,5274.2,5361,5214,2018-25,-444954,-453930,-754300,-756460,-54670,-114420,-1081790,-1092830,2018-25,57.6,24,24,18.2,32.1,13.9
2018-27,5537.4,5585,5492,2018-27,-277794,-286050,-487450,-492010,-32996,-68305,-1067470,-1074910,2018-27,68,25.4,24.8,17.7,32.6,14.9
2022-33,5844.2,6021,5692,2022-33,-333650,-340850,-660500,-661220,-103162,-149470,-1017824,-1022720,2022-33,80.2,28.1,26.5,22.4,31.5,9.1
2022-38,5442.6,5609,5259,2022-38,-391108,-395620,-738820,-738820,-132344,-180580,-1289967,-1293735,2022-38,66.5,22.4,22,13,32.5,19.5
2022-39,5330.4,5581,4668,2022-39,-400750,-407710,-915920,-917360,-102121,-162895,-1278240,-1286160,2022-39,65.7,20,20.1,12.3,28,15.7
2022-41,5338.2,5476,5093,2022-41,-362432,-368240,-923610,-924090,-109803,-153045,-1297297,-1302985,2022-41,72,13.7,13.8,6.5,23,16.5
2021-47,5440.4,5591,5309,2021-47,-397145,-403025,-516570,-516570,-93977,-139635,-1359792,-1363680,2021-47,68.8,6.6,6.5,-3.7,16.7,20.4
Sep-22,4364.8,4516,4179,Sep-22,-395305,-399025,-644070,-644070,-86995,-142070,-1275960,-1278840,Sep-22,62.8,5.4,5.4,-2.3,14.6,16.9
Nov-22,4160,4302,4030,Nov-22,-415893,-422445,-652900,-652900,-84995,-137245,-1279307,-1282355,Nov-22,73.9,9.8,9.8,2.3,19.5,17.2
2022-14,4619.2,4680,4559,2022-14,-397837,-402565,-551940,-551940,-93583,-138075,-1312507,-1317475,2022-14,49.7,10.5,10.6,3.5,20,16.5
2018-38,4405,5226,3794,2018-38,-557177,-569345,-1110570,-1115370,-64185,-138585,-1584250,-1595770,2018-38,66.9,20.7,20.7,15.6,27.7,12.1
2018-39,4830.5,4945,4716,2018-39,-278575,-284935,-872590,-876430,-48772,-97410,-1065032,-1069880,2018-39,51.1,18.4,18.4,10.8,27,16.2
Oct-19,3429.4,3613,3362,Oct-19,-450343,-457615,-776540,-777740,-57409,-98650,-956337,-960825,Oct-19,47,7.7,7.7,-0.4,15.3,15.7
2019-27,4240.2,4275,4165,2019-27,-337432,-342280,-585070,-585070,-64915,-106300,-1126784,-1130240,2019-27,51.6,26.1,26.1,20,36.1,16.1
